datasheet_id,datasheet
1,All data can be found at https://robotics-transformer-x.github.io/.
2,Can be found at section E of https://arxiv.org/pdf/2310.06786.pdf
3,https://arxiv.org/pdf/1906.03327.pdf
4,https://arxiv.org/pdf/2112.11446.pdf#subsection.A.5
5,https://arxiv.org/pdf/2201.07311.pdf
6,https://arxiv.org/pdf/2204.02311.pdf#appendix.D
7,https://arxiv.org/pdf/2204.14198.pdf#appendix.F
8,https://arxiv.org/pdf/2303.17564.pdf#section.2
9,https://arxiv.org/pdf/2304.02643.pdf#page=25
10,https://docs.cohere.ai/data-statement
11,https://drive.google.com/file/d/12gOf5I5RytsD159nSP7iim_5zN31FCXq/view
12,https://github.com/mosaicml/diffusion/blob/main/assets/common-canvas.md
13,https://huggingface.co/datasets/CohereForAI/aya_dataset
14,https://huggingface.co/datasets/DIBT/10k_prompts_ranked
15,https://huggingface.co/datasets/EleutherAI/proof-pile-2
16,https://huggingface.co/datasets/HuggingFaceM4/OBELICS
17,https://huggingface.co/datasets/HuggingFaceM4/the_cauldron
18,https://huggingface.co/datasets/HuggingFaceTB/cosmopedia
19,https://huggingface.co/datasets/Open-Orca/OpenOrca
20,https://huggingface.co/datasets/Salesforce/lotsa_data
21,https://huggingface.co/datasets/allenai/MADLAD-400
22,https://huggingface.co/datasets/allenai/soda
23,https://huggingface.co/datasets/allenai/tulu-v2-sft-mixture
24,https://huggingface.co/datasets/bigcode/the-stack
25,https://huggingface.co/datasets/bigscience/P3
26,https://huggingface.co/datasets/bigscience/xP3
27,https://huggingface.co/datasets/c4
28,https://huggingface.co/datasets/cerebras/SlimPajama-627B
29,https://huggingface.co/datasets/math-ai/AutoMathText
30,https://huggingface.co/datasets/openbmb/UltraFeedback
31,https://huggingface.co/datasets/stingning/ultrachat
32,https://huggingface.co/datasets/tatsu-lab/alpaca
33,https://huggingface.co/datasets/tiiuae/falcon-refinedweb
34,https://huggingface.co/datasets/togethercomputer/RedPajama-Data-1T
35,https://huggingface.co/datasets/uonlp/CulturaX
36,https://huggingface.co/spaces/bigscience-data/bigscience-corpus
37,https://laion.ai/blog/laion-400-open-dataset/
38,https://laion.ai/blog/laion-5b/
39,unknown
