included_id,included
1,"""To encourage visual descriptiveness in our collection, we select only those images with descriptions of satisfactory length based on observed lengths in visual descriptions. We also enforce that retained descriptions contain at least 2 words belonging to our term lists and at least one prepositional word, e.g. “on”, “under” which often indicate visible spatial relationships.""
"
2,"""our team curated a dataset of 650K hours of English audio - consisting of proprietary internal datasets and various sources from the internet""
"
3,"164 hand-written questions.
"
4,"As stated in the datasheet, the dataset ""includes the Google Books dataset, CommonCrawl, and text from the internet scraped by the Cohere infrastructure team."" The top ten domains scraped were: wordpress.com, medium.com, stackexchange.com, tumblr.com, elsevier.com, genius.com, bbc.co.uk, libsyn.com, yahoo.com, nytimes.com [[Datasheet]](https://docs.cohere.ai/data-statement).
"
5,"Data crawled from the internet, without any filtering (including de-duplication) or curation.
"
6,"Data from the internet, including Conceptual Captions and a filtered subset of YFCC100M.
"
7,"Dialogue data of questions about the world, writing and creation tasks, and questions on existing materials."
8,"FinPile consists of English financial documents. Authors utilize the The Bloomberg
Terminal, which is an extensive collection of curated and maintained documents,
to create the FinPile dataset. Each document in FinPile is time-stamped, with
dates ranging from 2007-03-01 to 2022-07-31.
Types of data included are given below:
  1. Web (298B tokens) - Inclues Bloomberg's web crawl focused on high-quality
websites that have financially relevant information. This makes up the majority
of FinPile.
  2. News (38B tokens) - Includes all news sources relevant to the financial
community, excluding news articles written by Bloomberg journalists. Overall,
there are hundreds of English news sources in FinPile including ""Bloomberg
Transcripts"", which are transcripts of Bloomberg TV news.
  3. Filings (14B tokens) - Includes financial statements prepared by (public)
companies and made available to the general public.  In the dataset, a majority
of the filings come from EDGAR, which is the SEC's online database.
  4. Press (9B tokens) - Includes press releases typically issued by companies
that are financially relevant.
  5. Bloomberg (5B tokens) - Includes Bloomberg authored news and other documents
such as opinions and analyses. The largest sources are “Bloomberg News” and
“Bloomberg First Word”, the Bloomberg-authored wire of real-time news.
"
9,Included all image formats that Pillow library can decode. Collected only English text using cld3.
10,"Included in the dataset are data from ""public forums (0%); C4 data (12.5% ); code documents from sites related to programming like Q&A sites tutorials, etc (12.5%); Wikipedia (English) (12.5%); English web documents (6.25%); and Non-English web documents (6.25%).""
"
11,"M3W has interleaved images (185M) and text (182GB) from the web.
"
12,"MassiveText data come from 6 sources: MassiveWeb (48%), Books (27%), C4 (10%), News (10%), GitHub (3%), and Wikipedia (2%). MassiveWeb is a web text corpus curated for MassiveText.
"
13,Prompts and reasoning data is explicitly included to improve model capabilities derived from this data.
14,"SA-1B consists of 11M diverse, high-resolution (averaging 1500×2250 pixels), and privacy protecting images collected and licensed from a third party photo company. The images are photos taken from a camera, i.e. not artwork. The images vary in subject matter. Common themes of the images include: locations, objects, scenes. The dataset includes 1.1B high-quality segmentation masks collected with the Segment Anything Data Engine. SA-1B only includes automatically generated masks (99.1%), as the authors conclude after experiments that the automatic masks are high quality and effective for training models. The masks range from large scale objects such as buildings to fine grained details such as door handles. Masks are provided in the COCO run-length encoding (RLE) annotation format.
"
15,See section 2 of the paper.
16,"The Pile data come from 22 sources, with over half of the data being from Common Crawl (Pile-CC; 227GB), fiction and nonfiction books (Books3; 101GB), biomedical articles (PubMed Central; 90GB), and code (Github; 95 GB). Refer to the paper for full decomposition [[Table 1]](https://arxiv.org/pdf/2101.00027.pdf#table.caption.2).
"
17,The Public Pool of Prompts relies on the Hugging Face Dataset library. Any public dataset in the Datasets library can be prompted. We select the datasets that have at least one subset in English and excluded datasets containing (predominantly) non-natural language examples.
