llm_data_id,name,type_id,organization_id,description_id,created_date_id,url_id,datasheet_id,modality_id,size_id,sample_id,analysis_id,dependencies_id,included_id,excluded_id,quality_control_id,access_id,license_id,intended_uses_id,prohibited_uses_id,monitoring_id,feedback_id,model_card_id,training_emissions_id,training_time_id,training_hardware_id,adaptation_id,output_space_id,terms_of_service_id,monthly_active_users_id,user_distribution_id,failures_id
1,GenSLM,3,13,478,92,401,39,56,93,10,259,235,32,25,86,3,33,167,70,22,190,167,21,76,120,9,32,39,3,2,1
2,h2oGPT,3,70,362,175,119,39,66,82,10,62,101,32,25,86,3,2,167,70,22,157,130,21,76,122,9,32,39,3,2,1
3,H2O Danube,3,70,181,261,156,39,66,14,10,92,305,32,25,86,3,2,167,64,22,156,129,21,76,78,9,32,39,3,2,1
4,Character,1,40,79,85,179,39,72,205,10,259,305,32,25,86,2,55,167,70,22,190,167,21,76,120,9,1,4,3,2,1
5,Bark,3,167,62,151,260,39,51,205,10,259,13,32,25,86,3,33,167,70,22,173,26,21,76,120,9,32,39,3,2,1
6,Baichuan 2,3,17,61,205,129,39,66,41,10,115,305,32,25,86,3,2,167,70,22,102,167,21,76,6,9,32,39,3,2,1
7,Q-Chat,1,143,330,130,331,39,72,205,10,259,35,32,25,86,3,55,167,70,22,190,167,21,76,120,9,32,20,3,2,1
8,LP-MusicCaps,2,161,227,185,123,39,72,70,8,56,181,32,25,86,3,20,167,70,22,190,167,21,76,120,9,32,39,3,2,1
9,MPT,3,109,249,157,425,39,66,193,10,81,228,32,25,86,3,2,167,70,22,190,167,21,65,52,9,32,39,3,2,1
10,CommonCanvas,3,50,102,223,140,39,57,205,10,23,51,32,25,86,3,2,167,70,22,190,167,21,50,10,9,32,39,3,2,1
11,CommonCatalog,2,109,103,223,140,12,31,182,8,259,282,30,24,86,3,2,167,70,22,190,167,21,76,120,9,32,39,3,2,1
12,Neeva dataset,2,117,478,314,326,39,40,205,8,259,305,32,25,86,1,55,167,70,22,190,167,21,76,120,9,32,39,3,2,1
13,Neeva model,3,117,478,314,326,39,66,205,10,259,185,32,25,86,1,55,167,70,22,190,167,21,76,120,9,32,39,3,2,1
14,NeevaAI,1,117,281,113,325,39,72,205,10,259,186,32,25,86,3,22,167,70,22,190,167,21,76,120,9,32,13,3,2,1
15,StarCoder,3,27,374,159,110,39,16,46,10,213,261,32,25,39,3,6,15,37,22,115,106,5,29,56,9,32,39,3,2,1
16,SantaCoder,3,27,278,128,98,39,16,1,10,75,260,32,25,86,3,5,122,37,22,114,105,3,10,79,9,32,39,3,2,1
17,The Stack,2,27,408,100,94,24,13,163,3,58,110,32,25,79,3,46,153,38,22,138,167,21,76,120,9,32,39,3,2,1
18,StarCoder2-15B,3,27,375,276,438,39,17,51,10,209,259,32,25,62,3,8,121,37,22,116,107,21,76,8,9,32,39,3,2,1
19,StarCoder2-7B,3,27,377,276,438,39,17,193,10,209,259,32,25,62,3,8,49,37,22,118,109,11,11,51,9,32,39,3,2,1
20,StarCoder2-3B,3,27,376,276,438,39,17,131,10,209,259,32,25,62,3,8,49,37,22,117,108,4,67,18,9,32,39,3,2,1
21,MediTron,3,60,256,241,150,39,66,180,10,78,305,32,25,86,3,27,59,70,22,150,123,21,76,120,9,32,39,3,2,1
22,COYO-700M,2,85,73,81,257,39,21,188,8,2,54,9,15,86,3,17,2,13,22,8,167,21,76,120,9,32,39,3,2,1
23,Luminous dataset,2,7,418,56,455,39,40,205,8,259,305,32,25,86,1,55,167,70,22,190,167,21,76,120,9,32,39,3,2,1
24,Luminous,3,7,243,56,376,39,66,77,10,259,160,32,25,86,2,55,167,70,22,190,167,21,76,120,9,32,39,3,2,1
25,Aleph Alpha API,1,7,388,33,390,39,72,205,10,259,161,32,25,86,2,55,167,70,22,190,167,21,76,120,9,15,25,3,2,1
26,MAGMA,3,7,37,95,79,39,30,176,10,147,98,32,25,86,3,33,167,70,22,190,167,21,76,38,9,32,39,3,2,1
27,CodeParrot,3,74,92,39,377,39,55,66,10,259,305,32,25,86,3,55,167,70,22,190,167,21,76,17,9,32,39,3,2,1
28,Zephyr,3,74,475,216,271,39,66,193,10,104,176,32,25,86,3,33,27,70,22,58,45,21,76,120,9,32,39,3,2,1
29,IDEFICS,3,74,188,194,289,39,30,194,10,51,190,32,25,86,3,51,27,70,22,59,46,21,76,120,9,32,39,3,2,1
30,OBELICS,2,74,287,194,289,16,21,27,8,212,305,32,3,47,3,17,167,70,22,131,167,21,76,120,9,32,39,3,2,1
31,FinGPT,3,181,145,230,144,39,66,41,10,103,305,32,25,86,3,2,167,70,22,97,86,21,76,21,9,32,39,3,2,1
32,BLUUMI,3,181,60,230,144,39,66,58,10,103,19,32,25,86,3,9,167,70,22,96,85,21,76,21,9,32,39,3,2,1
33,Cosmopedia v0.1,2,73,109,272,455,18,40,94,8,211,177,32,25,34,3,55,167,70,22,133,167,21,76,120,9,32,39,3,2,1
34,Idefics2,3,73,189,298,290,39,30,197,10,248,252,32,25,68,3,2,106,70,22,60,47,21,76,120,9,32,39,3,2,1
35,The Cauldron,2,73,391,298,290,17,21,146,8,259,152,32,25,86,3,10,167,70,22,132,167,21,76,120,9,32,39,3,2,1
36,Konan LLM,3,87,220,204,231,39,66,40,10,259,305,32,25,86,2,55,26,70,22,190,167,21,76,120,9,32,39,3,2,1
