modality_id,modality
1,NLP tasks
2,amino acid sequence; protein structure
3,audio
4,"audio, image, text, video; audio, image, text"
5,"audio, image, text, video; text"
6,"audio, image, text; audio, image, video"
7,"audio, text"
8,"audio, text; audio"
9,"audio, text; audio, text"
10,"audio, text; text"
11,audio; audio
12,audio; text
13,code
14,"code, text"
15,"code, text; code, text"
16,code; code
17,code; text
18,human trajectories; text
19,image
20,"image, image"
21,"image, text"
22,"image, text, genome sequence; text"
23,"image, text, robotics trajectories, simulated control tasks"
24,"image, text, video"
25,"image, text, video; text"
26,"image, text; image"
27,"image, text; image, text"
28,"image, text; image, text, robotics trajectories"
29,"image, text; robotics trajectories"
30,"image, text; text"
31,image-caption pairings
32,image; embeddings
33,image; image
34,image; text
35,image; video
36,"images, text, robot trajectories; robot trajectories"
37,"images, text; robot trajectories"
38,"molecules, tasks"
39,robot trajectories
40,text
41,text (English)
42,text ;text
43,"text, mathematical tokens"
44,"text, text"
45,"text, video"
46,"text, video; text"
47,"text, video; text, robotics trajectories"
48,"text, video; text, video"
49,"text, video; video"
50,text; API
51,text; audio
52,"text; audio, video"
53,text; climate forecasts
54,text; code
55,"text; code, text"
56,text; genome sequence
57,text; image
58,"text; image, text"
59,"text; image, text, video"
60,"text; image, video"
61,text; in-game actions
62,text; music
63,text; protein sequence
64,text; robotics trajectories
65,text; template design
66,text; text
67,"text; text, code"
68,text; vector graphic
69,text; video
70,time-series
71,time-series; time-series
72,unknown
73,video
74,video with caption
75,video; text
76,video; video
