terms_of_service_id,terms_of_service
1,hhttps://re.express/tos.html
2,https://aws.amazon.com/service-terms/
3,https://azure.microsoft.com/en-us/support/legal/
4,https://beta.character.ai/tos
5,https://blog.perplexity.ai/legal/terms-of-service
6,https://claude.ai/legal
7,https://cohere.ai/terms-of-use
8,"https://docs.github.com/en/site-policy/github-terms/github-terms-of-service
"
9,https://github.com/continuedev/continue/blob/main/LICENSE
10,https://goose.ai/docs/tos
11,https://hyperwriteai.com/terms
12,https://mistral.ai/terms/#terms-of-use
13,https://neeva.com/terms
14,https://openai.com/api/policies/terms/
15,https://openai.com/policies/terms-of-use
16,https://play.aidungeon.io/main/termsOfService
17,https://poe.com/tos
18,https://policies.google.com/terms
19,https://portkey.ai/terms
20,https://quizlet.com/tos
21,https://snap.com/terms
22,https://stability.ai/terms-of-use
23,https://www.adobe.com/legal/licenses-terms/adobe-gen-ai-user-guidelines.html
24,https://www.ai21.com/terms-of-use
25,https://www.aleph-alpha.com/terms-conditions
26,https://www.askviable.com/terms-of-service
27,https://www.assemblyai.com/legal/terms-of-service
28,https://www.brex.com/legal/user-terms
29,https://www.duolingo.com/terms
30,https://www.ibm.com/docs/en/watsonx-as-a-service?topic=models-terms-use
31,https://www.microsoft.com/legal/terms-of-use
32,https://www.moonhub.ai/terms
33,https://www.robinai.co.uk/terms
34,https://www.sanalabs.com/legal/
35,https://www.spotify.com/us/legal/end-user-agreement/
36,https://www.transformify.ai/legal-stuff
37,https://www.wordtune.com/terms-of-use
38,https://yandex.com/legal/browser_agreement/
39,unknown
