dependencies_id,dependencies
219,"['QM9', 'TOX21', 'ZINC12K']"
129,"['L1000 VCAP', 'L1000 MCF7', 'PCBA1328', 'PCQM4M_G25_N4']"
202,['PM6_83M']
302,[]
181,['NASA HLS data']
113,['Granite']
6,['Animagine XL 3.0']
194,['OpenAI API']
91,['GPT-4 API']
12,['AudioLM']
34,['ChatGPT API']
98,"['GPT-J', 'P3', 'NaturalInstructions-v2']"
101,"['GPT-NeoX', 'OIG-43M']"
99,"['GPT-JT', 'OIG-moderation']"
200,"['P3', 'NaturalInstructions-v2', 'FLAN dataset']"
107,"['GitHub', 'Wikipedia']"
19,"['BookSum dataset', 'MQA dataset', 'Together API', 'LLaMA 2']"
49,['Common Crawl']
114,"['Hyena', 'RedPajama-Data']"
161,"['MIMIC-IT', 'OpenFlamingo']"
280,"['YFCC100M', 'Image-Chat']"
157,['Llama 2']
5,"['AlphaFold2', 'OpenProteinSet']"
27,"['CLIP', 'Vicuna']"
218,"['QLoRA', 'OASST1']"
136,"['LLaMA 2', 'Jukebox']"
173,"['Mistral', 'PubMed Central']"
148,['LLaMA']
92,"['GPT-4', 'Claude', 'Falcon-40B']"
243,['StarCoderPlus']
174,['Mistral']
187,"['OBELICS', 'Wikipedia', 'LAION-5B', 'PMD']"
18,['BLOOM']
175,['Mixtral']
249,['The Cauldron']
150,"['LNarratives', 'Rendered Text', 'WebSight', 'DaTikz']"
134,['LAION-5B']
242,"['StableLM-Alpha dataset', 'Alpaca dataset', 'gpt4all dataset', 'ShareGPT52K dataset', 'Dolly dataset', 'HH dataset']"
153,['Large Video Dataset']
270,"['WebVid-10M', 'CoCa', 'V-BLIP']"
226,"['RedPajama-Data', 'The Pile', 'RefinedWeb', 'The Stack', 'OpenWebText', 'OpenWebMath']"
191,['Objaverse']
15,['AudioSparx']
186,"['Nous Hermes 2', 'OpenChat 3.5']"
221,"['Qwen', 'OpenOrca']"
171,"['Mistral', 'Mistral Large']"
63,"['Dolphin', 'Yi']"
276,['WizardLM']
7,['Anthropic API']
88,"['GPT-3.5', 'Bing Search']"
214,"['Perplexity Ask', 'OpenAI API']"
72,['Falcon-180B']
255,['The Pile']
102,['GPT-NeoX']
265,"['VQGAN', 'CLIP']"
215,"['Proof Pile 2', 'Code LLaMA']"
48,"['Common Crawl', 'OpenWebMath', 'Arxiv', 'RedPajama-Data']"
253,"['The Pile', 'T5x', 'LLaMA', 'umT5']"
252,"['The Pile', 'GLM-130B Chinese corpora', 'P3', 'DeepStruct finetuning dataset']"
267,"['Vicuna', 'CLIP']"
262,['UltraChat']
109,['Github']
140,['LLaMA 2']
117,['Inflection-2.5']
126,"['Jurassic-2', 'Claude', 'Stable Diffusion', 'Amazon Titan', 'Claude 2', 'Cohere Command']"
73,['Falcon-40B']
248,['T5']
128,"['Kinetics-400', 'WebVid-2M', 'WebVid-10M', 'HowTo100M', 'AVA', 'Something-Something-v2', 'Kinetics-710']"
190,['OPUS']
93,"['GPT-4', 'LLaMA 2']"
118,"['InternVL', 'VideoMAEv2', 'LAION', 'WebVid', 'InternVid', 'LLaVA', 'KMash']"
57,['CosmicMan-HQ 1.0']
229,['RefinedWeb']
16,['Azure Cognitive Services for Vision']
192,"['Open X-Embodiment dataset', 'ImageNet EfficientNet', 'USE']"
193,"['Open X-Embodiment dataset', 'ViT (unknown size)', 'UL2']"
24,"['CLIP', 'LAION-400M', 'Wukong', 'Stable Diffusion XL']"
162,"['MSR-VTT', 'Video-ChatGPT Video Descriptions Dataset']"
135,"['LLaMA 2', 'Guanaco LLaMA dataset']"
103,"['GPT-style autoregressive decoder', 'BiomedGPT biomedical datasets']"
228,"['RefinedWeb', 'The Pile', 'RedPajama-Data', 'Dolma', 'CoreNet library']"
258,['The Stack']
257,"['The Stack', 'BigCode Dataset']"
108,['GitHub']
256,['The Stack v2']
100,"['GPT-NeoX', 'H2O AI OpenAssistant', 'h2oGPT Repositories']"
241,['Stable Diffusion']
53,['CommonCrawl']
21,['C4']
119,['Internal Google BERT dataset']
120,"['Internal Google BERT', 'MUM']"
116,['Infiniset']
246,"['T5', 'Muffin', 'P3', 'NaturalInstructions-v2', 'Flan CoT']"
20,"['C4', 'LAION-400M', 'FIT400M', 'JFT-4B']"
130,"['LAION-400M', 'Google internal image-text dataset']"
14,"['AudioSet', 'HowTo100M']"
206,['PaLM dataset']
211,['PaLM']
77,"['Flan-PaLM', 'MultiMedQA']"
212,"['PaLM-E', 'MultiMedBench']"
