name,description,datasheet,sample,analysis,included,excluded,quality_control,license,intended_uses,prohibited_uses,monitoring,feedback,training_emissions,training_time,training_hardware,adaptation,output_space,terms_of_service,monthly_active_users,user_distribution,failures,type_id,organization_id,created_date_id,link_type_id,modality_id,size_id,dependencies_id,access_id,model_type_id
ToyMix,ToyMix is the smallest dataset of three extensive and meticulously curated multi-label datasets that cover nearly 100 million molecules and over 3000 sparsely defined tasks.,,[],Models of size 150k parameters trained on ToyMix and compared to models trained on its dependencies across GNN baselines.,,,,CC BY-NC-SA 4.0,"The datasets are intended to be used in an academic setting for training molecular GNNs with orders of magnitude more parameters than current large models. Further, the ToyMix dataset is intended to be used in a multi-task setting, meaning that a single model should be trained to predict them simultaneously.",,,,,,,,,,,,,1,100,213,4,35,37,219,2,4
LargeMix,LargeMix is the middle-sized dataset of three extensive and meticulously curated multi-label datasets that cover nearly 100 million molecules and over 3000 sparsely defined tasks.,,[],Models of size between 4M and 6M parameters trained for 200 epochs on LargeMix and compared to models trained on its dependencies across GNN baselines.,,,,CC BY-NC-SA 4.0,"The datasets are intended to be used in an academic setting for training molecular GNNs with orders of magnitude more parameters than current large models. Further, the LargeMix dataset is intended to be used in a multi-task setting, meaning that a single model should be trained to predict them simultaneously.",,,,,,,,,,,,,1,100,213,4,35,37,129,2,4
UltraLarge,UltraLarge is the largest dataset of three extensive and meticulously curated multi-label datasets that cover nearly 100 million molecules and over 3000 sparsely defined tasks.,,[],Models of size between 4M and 6M parameters trained for 50 epochs on UltraLarge and compared to models trained on its dependencies across GNN baselines.,,,,CC BY-NC-SA 4.0,The datasets are intended to be used in an academic setting for training molecular GNNs with orders of magnitude more parameters than current large models.,,,,,,,,,,,,,1,100,213,4,35,37,202,2,4
Lag-LLaMA,Lag-LLaMA is a general-purpose foundation model for univariate probabilistic time series forecasting based on a decoder-only transformer architecture that uses lags as covariates.,,,Evaluated on previously unseen time series datasets.,,,,Apache 2.0,,,unknown,https://huggingface.co/time-series-foundation-models/Lag-Llama/discussions,unknown,unknown,A single NVIDIA Tesla-P100 GPU,,,,,,,2,104,266,4,62,198,302,2,3
Prithvi,"Prithvi is a first-of-its-kind temporal Vision transformer pre-trained by the IBM and NASA team on contiguous US Harmonised Landsat Sentinel 2 (HLS) data. The model adopts a self-supervised encoder developed with a ViT architecture and Masked AutoEncoder (MAE) learning strategy, with an MSE loss function.",,,,,,,Apache 2.0,,,,https://huggingface.co/ibm-nasa-geospatial/Prithvi-100M/discussions,,,,,,,,,,2,72,187,1,45,18,181,2,3
Watsonx.ai,"Watsonx.ai is part of the IBM watsonx platform that brings together new generative AI capabilities, powered by foundation models and traditional machine learning into a powerful studio spanning the AI lifecycle.",,,,,,,custom,,,,,,,,,deployed AI models,https://www.ibm.com/docs/en/watsonx-as-a-service?topic=models-terms-use,,,,0,72,200,3,-1,-1,113,1,4
Granite,Granite is a set of multi-size foundation models that apply generative AI to both language and code.,,,unknown,,,"Training data passed through IBM HAP detector, language model designed to remove harmful content. Data also deduplicated and filtered for document quality.",,,,,,unknown,unknown,unknown,,,,,,,2,72,207,0,51,39,302,1,4
Animagine XL 3.1,"An open-source, anime-themed text-to-image model enhanced to generate higher quality anime-style images with a broader range of characters from well-known anime series, an optimized dataset, and new aesthetic tags for better image creation.",,,unknown,,,"The model undergoes pretraining, first stage finetuning, and second stage finetuning for refining and improving aspects such as hand and anatomy rendering.",Fair AI Public License 1.0-SD,"Generating high-quality anime images from textual prompts. Useful for anime fans, artists, and content creators.",Not suitable for creating realistic photos or for users who expect high-quality results from short or simple prompts.,unknown,https://huggingface.co/cagliostrolab/animagine-xl-3.1/discussions,unknown,"Approximately 15 days, totaling over 350 GPU hours.",2x A100 80GB GPUs,,,,,,,2,32,284,3,53,198,6,2,3
Portkey,Portkey is a hosted middleware that allows users to create generative AI applications,,,,,,,,,,,,,,,,generative AI apps,https://portkey.ai/terms,,,,0,137,157,3,-1,-1,302,2,4
Viable,"Viable analyzes qualitative consumer feedback and provides summary feedback to companies.
",,,,,,unknown,unknown,"Intended to be used by companies to digest qualitative consumer feedback.
","Prohibited uses are listed in the Terms of Service [[Terms of Service]](https://www.askviable.com/terms-of-service). The terms don't include statements specific to the use of the content generated by the system or GPT-3.
",unknown,unknown,,,,unknown,"Question and answer, summarization, sentiment analysis, topic identification",https://www.askviable.com/terms-of-service,unknown,unknown,unknown,0,181,-1,3,-1,-1,194,1,4
