organization_id,organization
100,Mila-Quebec AI Institute
104,"Morgan Stanley, ServiceNow Research, University of Montreal, Mila-Quebec AI Institute"
72,IBM
32,Cagliostro Research Lab
137,Portkey
181,Viable
13,Auto-GPT
163,Suno
69,HubSpot
166,Together
167,"Together, LAION, Ontocord"
57,"EPFL, Idiap Research Institute, OpenAssistant, Yale"
185,Xverse
110,Nanyang Technological University
23,Beijing Institute of Technology
38,ChatGLM
44,Columbia
45,"Columbia, Apple AI"
178,University of Washington
179,"University of Washington, Spotify"
78,InternLM
14,"Avignon University, Nantes University"
83,Khan Academy
183,Wayve
66,GreenBit AI
48,Cresta
168,"Tokyo Institute of Technology, MIT-IBM Watson Lab, Sapienza University of Rome"
71,HuggingFace
177,"University of Turku, HuggingFace, National Library of Finland"
70,Hugging Face
160,Stability AI
145,Reka
61,FuseAI
103,Moreh
101,Mistral AI
144,Reexpress AI
40,Cognitive Computations
55,DuckDuckGo
135,Perplexity
182,Virtual Interactive
52,Deci
59,EleutherAI
65,GooseAI
58,Eleuther AI
138,"Princeton University, Eleuther AI"
19,Be My Eyes
171,Tsinghua University
190,"Zhipu AI, Tsinghua University"
33,Carnegie Mellon University
34,"Carnegie Mellon University, University of Pennsylvania"
128,OpenAssistant
75,Inflection AI
142,RWKV
17,"Baidu, PengCheng Laboratory"
16,Baidu
139,Quizlet
7,Amazon
169,Toyota Research Institute
152,Shanghai AI Laboratory
153,"Shanghai AI Laboratory, Nanjing University, Zhejiang University"
120,Nucleus.AI
39,Cognition Labs
84,Konan
93,LinkedIn
37,Character AI
124,Open X-Embodiment
125,"Open X-Embodiment, Google Deepmind"
79,"International Digital Economy Academy, South China University of Technology, University of Science and Technology of China"
172,Twelve Labs
95,Maya Philippines
92,Lehigh University
9,Apple
25,BigCode
67,H2O AI
60,Faraday Lab
62,Google
106,NAVER
164,The Trevor Project
76,Instacart
4,Adobe
174,"University of Oregon, Adobe"
11,Argonne National Laboratory
102,Moonhub
86,Kunlun Inc.
82,Kakao Brain
85,Kotoba Tech
154,Shop
126,OpenAI
127,"OpenAI, Salesforce"
73,Ideogram AI
27,Bloomberg
136,Pleias
115,Nolano
28,Boston University
114,Nextdoor
188,You
162,Stony Brook University
64,Google Deepmind
63,Google DeepMind
175,University of Oxford
150,Sana
1,AI2
107,NCSOFT
133,Paladin Group and Dais Technology
36,Cerebras
74,"Inception Institute of Artificial Intelligence, Cerebras, Mohamed bin Zayed University of Artificial Intelligence"
148,Salesforce
113,Neeva
2,AI21 Labs
105,Mosaic
47,"Cornell University, Mosaic"
91,Latitude
12,AssemblyAI
186,Xwin
134,Peking University Institute for Artificial Intelligence
122,Ohio State University
147,SK Telecom
0,01 AI
192,"École Normale Supérieure, Inria"
130,OpenLemur
3,Adept
129,OpenBMB
50,Data is Better Together
96,Meta
97,"Meta, CMU, TTI-Chicago, UC Berkeley, University of Washington"
132,OthersideAI
81,KT Corporation
8,Anthropic
26,BigScience
35,CausalLM
18,Bain
180,VAGO Solutions
170,Transformify
184,Writer
51,Databricks
90,LMSYS
88,LG AI Research
143,Rakuten
156,Soochow University
159,Spotify
24,Berkeley
53,Deepnight Research
140,Quora
116,Notion
54,Deepseek AI
123,Ollama
173,UAE Technology Innovation Institute
155,Snap
29,Brex
87,LAION
31,"ByteDance, Tsinghua University"
30,ByteDance
98,Microsoft
99,"Microsoft, NVIDIA"
165,TigerResearch
41,Cohere
43,"Cohere for AI, Cohere, Brown University, Carnegie Mellon University, MIT"
42,"Cohere for AI, Beijing Academy of Artificial Intelligence, Cohere, Binghamton University"
191,xAI
158,Speak
189,Zhejiang University
161,Stanford
94,Math AI
118,Nous Research
119,"Nous Research, EleutherAI, University of Geneva"
117,Nous
108,NVIDIA
109,"NVIDIA, Stanford"
121,Nvidia
77,Institute of Automation Chinese Academy of Sciences
187,Yandex
46,"Continue Dev, Inc."
111,National University of Singapore
112,"National University of Singapore, University of Edinburgh, ETH Zurich"
15,Baichuan Inc.
20,Beijing Academy of Artificial Intelligence
68,"Hong Kong University of Science and Technology (Guangzhou + original), Beijing Academy of Artificial Intelligence"
22,"Beijing Academy of Artificial Intelligence, University of Science and Technology of China"
21,"Beijing Academy of Artificial Intelligence, Tsinghua University"
5,Aleph Alpha
146,Robin AI
80,Juni Learning
6,Alibaba
141,Qwen Team
49,"DAMO Academy, Alibaba"
176,University of Toronto
131,OrionStarAI
149,Samba Nova Systems
157,South Korea Graduate School of Culture Technology
151,SciPhi
10,Argilla
89,LLM360
56,Duolingo
