link_type_id,link_type,url
4,Scientific paper,https://arxiv.org/pdf/2310.04292.pdf
4,Scientific paper,https://time-series-foundation-models.github.io/lag-llama.pdf
1,Github Link,https://github.com/NASA-IMPACT/hls-foundation-os
3,Other,https://www.ibm.com/products/watsonx-ai
0,Blog,https://www.ibm.com/blog/building-ai-for-business-ibms-granite-foundation-models/
3,Other,https://cagliostrolab.net/posts/animagine-xl-v31-release
3,Other,https://portkey.ai/
3,Other,https://www.askviable.com/
3,Other,https://news.agpt.co/
1,Github Link,https://github.com/suno-ai/bark
3,Other,https://ecosystem.hubspot.com/marketplace/apps/sales/sales-enablement/the-obo-group-chatgpt-1398072
0,Blog,https://www.together.xyz/blog/releasing-v1-of-gpt-jt-powered-by-open-source-ai
0,Blog,https://www.together.xyz/blog/openchatkit
0,Blog,https://laion.ai/blog/oig-dataset/
0,Blog,https://www.together.xyz/blog/redpajama
0,Blog,https://together.ai/blog/llama-2-7b-32k-instruct
0,Blog,https://together.ai/blog/redpajama-data-v2
0,Blog,https://www.together.ai/blog/stripedhyena-7b
4,Scientific paper,https://arxiv.org/pdf/2311.16079.pdf
1,Github Link,https://github.com/xverse-ai/XVERSE-65B
4,Scientific paper,https://arxiv.org/pdf/2305.03726v1.pdf
4,Scientific paper,https://arxiv.org/pdf/2310.10967.pdf
1,Github Link,https://github.com/GeneZC/MiniMA
0,Blog,https://chatglm.cn/blog
3,Other,https://www.biorxiv.org/content/10.1101/2022.11.20.517210v2
4,Scientific paper,https://arxiv.org/pdf/2310.07704.pdf
4,Scientific paper,https://arxiv.org/pdf/2305.14314v1.pdf
4,Scientific paper,https://arxiv.org/pdf/2310.07160.pdf
1,Github Link,https://github.com/InternLM/InternLM
4,Scientific paper,https://arxiv.org/pdf/2402.10373.pdf
3,Other,https://www.khanacademy.org/khan-labs#khanmigo
4,Scientific paper,https://arxiv.org/pdf/2309.17080.pdf
1,Github Link,https://github.com/GreenBitAI/low_bit_llama
0,Blog,https://cresta.com/blog/introducing-ocean-1-worlds-first-contact-center-foundation-model/
4,Scientific paper,https://arxiv.org/pdf/2404.00399
3,Other,https://twitter.com/lvwerra/status/1467933794699259908
2,Huggingface Link,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha
2,Huggingface Link,https://huggingface.co/blog/idefics
4,Scientific paper,https://arxiv.org/pdf/2311.05640.pdf
3,Other,
2,Huggingface Link,https://huggingface.co/blog/idefics2
0,Blog,https://stability.ai/blog/deepfloyd-if-text-to-image-model
1,Github Link,https://github.com/Stability-AI/StableLM
0,Blog,https://stability.ai/blog/stable-diffusion-public-release
3,Other,https://stability.ai/stablediffusion
4,Scientific paper,https://static1.squarespace.com/static/6213c340453c3f502425776e/t/655ce779b9d47d342a93c890/1700587395994/stable_video_diffusion.pdf
3,Other,https://clipdrop.co/real-estate/sky-replacer
3,Other,https://stability.ai/news/introducing-stable-lm-2
2,Huggingface Link,https://huggingface.co/stabilityai/stable-cascade
3,Other,https://stability.ai/news/introducing-stable-video-3d
3,Other,https://stability-ai.squarespace.com/news/stable-audio-2-0
3,Other,https://reka.ai/reka-flash-an-efficient-and-capable-multimodal-language-model/
3,Other,https://www.reka.ai/news/reka-core-our-frontier-class-multimodal-language-model
3,Other,https://arxiv.org/abs/2402.16107
2,Huggingface Link,https://huggingface.co/moreh/MoMo-72B-lora-1.8.7-DPO
3,Other,https://mistral.ai/news/announcing-mistral-7b/
3,Other,https://mistral.ai/news/mistral-large/
3,Other,https://mistral.ai/news/le-chat-mistral/
3,Other,https://re.express/index.html
3,Other,https://erichartford.com/dolphin
